dataset_name,oracle_param_oracle_name,oracle_param_number_of_epochs_for_training_feature_extractor,oracle_param_number_of_hidden_layers_for_classifier,oracle_param_number_of_neurons_in_layer_for_classifier,oracle_param_number_of_epochs_for_training_classifier,wtst_param_number_of_accepted_failed_attempts,wtst_param_epoch_unit,gan_param_number_of_generated_samples_perclass,maj_class_count,min_maj_rate,maj_f1,min_f1,stopping_epoch,fold
tor,fixed,-1,-1,-1,-1,15,100,500,200,0.4,0.936708861,0.848484848,1500,1
tor,cas,-1,2,20,20,15,100,500,200,0.4,0.951219512,0.866666667,900,2
tor,fcn,-1,2,100,100,15,100,500,200,0.4,0.95,0.875,1200,2
tor,mis,-1,2,100,100,15,100,500,200,0.4,0.95,0.875,1600,2
tor,mfid,200,-1,-1,-1,15,100,500,200,0.4,0.962025316,0.909090909,1200,2
tor,fixed,-1,-1,-1,-1,15,100,500,200,0.4,0.963855422,0.896551724,1500,2
tor,cas,-1,2,20,20,15,100,500,200,0.4,0.73015873,0.653061224,900,3
tor,fcn,-1,2,100,100,15,100,500,200,0.4,0.962025316,0.909090909,4600,3
tor,mis,-1,2,100,100,15,100,500,200,0.4,0.906666667,0.810810811,300,3
tor,mfid,200,-1,-1,-1,15,100,500,200,0.4,0.962962963,0.903225806,600,3
tor,fixed,-1,-1,-1,-1,15,100,500,200,0.4,0.962025316,0.909090909,1500,3
tor,cas,-1,2,20,20,15,100,500,200,0.4,0.897435897,0.764705882,1400,4
tor,fcn,-1,2,100,100,15,100,500,200,0.4,0.925,0.8125,5600,4
tor,mis,-1,2,100,100,15,100,500,200,0.4,0.873239437,0.780487805,1600,4
tor,mfid,200,-1,-1,-1,15,100,500,200,0.4,0.936708861,0.848484848,1500,4
tor,fixed,-1,-1,-1,-1,15,100,500,200,0.4,0.849315068,0.717948718,1500,4
tor,cas,-1,2,20,20,15,100,500,200,0.4,0.845070423,0.731707317,2300,5
tor,fcn,-1,2,100,100,15,100,500,200,0.4,0.935064935,0.857142857,1600,5
tor,mis,-1,2,100,100,15,100,500,200,0.4,0.709677419,0.64,1200,5
tor,mfid,200,-1,-1,-1,15,100,500,200,0.4,0.888888889,0.8,600,5
tor,fixed,-1,-1,-1,-1,15,100,500,200,0.4,0.738461538,0.638297872,1500,5
tor,cas,-1,2,20,20,15,100,500,500,0.1,0.958333333,0.714285714,1300,1
tor,fcn,-1,2,100,100,15,100,500,500,0.1,0.958333333,0.714285714,5800,1
tor,mis,-1,2,100,100,15,100,500,500,0.1,0.947368421,0.666666667,2100,1
tor,mfid,200,-1,-1,-1,15,100,500,500,0.1,0.941798942,0.64516129,500,1
tor,fixed,-1,-1,-1,-1,15,100,500,500,0.1,0.947368421,0.666666667,1500,1
tor,cas,-1,2,20,20,15,100,500,500,0.1,0.965174129,0.631578947,600,2
tor,fcn,-1,2,100,100,15,100,500,500,0.1,0.97029703,0.666666667,2500,2
tor,mis,-1,2,100,100,15,100,500,500,0.1,0.964467005,0.695652174,1800,2
tor,mfid,200,-1,-1,-1,15,100,500,500,0.1,0.964467005,0.695652174,2300,2
tor,fixed,-1,-1,-1,-1,15,100,500,500,0.1,0.964824121,0.666666667,1500,2
tor,cas,-1,2,20,20,15,100,500,500,0.1,0.943589744,0.56,400,3
tor,fcn,-1,2,100,100,15,100,500,500,0.1,0.970588235,0.625,1700,3
tor,mis,-1,2,100,100,15,100,500,500,0.1,0.932642487,0.518518519,1500,3
tor,mfid,200,-1,-1,-1,15,100,500,500,0.1,0.949494949,0.545454545,2000,3
tor,fixed,-1,-1,-1,-1,15,100,500,500,0.1,0.931216931,0.580645161,1500,3
tor,cas,-1,2,20,20,15,100,500,500,0.1,0.97979798,0.818181818,1100,4
tor,fcn,-1,2,100,100,15,100,500,500,0.1,0.947916667,0.642857143,3100,4
tor,mis,-1,2,100,100,15,100,500,500,0.1,0.953367876,0.666666667,1700,4
tor,mfid,200,-1,-1,-1,15,100,500,500,0.1,0.837209302,0.416666667,200,4
tor,fixed,-1,-1,-1,-1,15,100,500,500,0.1,0.942408377,0.620689655,1500,4
tor,cas,-1,2,20,20,15,100,500,500,0.1,0.947916667,0.642857143,1300,5
tor,fcn,-1,2,100,100,15,100,500,500,0.1,0.958762887,0.692307692,1100,5
tor,mis,-1,2,100,100,15,100,500,500,0.1,0.953367876,0.666666667,5600,5
tor,mfid,200,-1,-1,-1,15,100,500,500,0.1,0.765432099,0.344827586,800,5
tor,fixed,-1,-1,-1,-1,15,100,500,500,0.1,0.75,0.333333333,1500,5
tor,cas,-1,2,20,20,15,100,500,500,0.2,0.931216931,0.745098039,400,1
tor,fcn,-1,2,100,100,15,100,500,500,0.2,0.945273632,0.717948718,1400,1
tor,mis,-1,2,100,100,15,100,500,500,0.2,0.927083333,0.708333333,1200,1
tor,mfid,200,-1,-1,-1,15,100,500,500,0.2,0.942408377,0.775510204,800,1
tor,fixed,-1,-1,-1,-1,15,100,500,500,0.2,0.95,0.75,1500,1
tor,cas,-1,2,20,20,15,100,500,500,0.2,0.964102564,0.844444444,900,2
tor,fcn,-1,2,100,100,15,100,500,500,0.2,0.954773869,0.780487805,4600,2
tor,mis,-1,2,100,100,15,100,500,500,0.2,0.947916667,0.791666667,1600,2
tor,mfid,200,-1,-1,-1,15,100,500,500,0.2,0.958762887,0.826086957,1100,2
tor,fixed,-1,-1,-1,-1,15,100,500,500,0.2,0.969387755,0.863636364,1500,2
tor,cas,-1,2,20,20,15,100,500,500,0.2,0.921465969,0.693877551,1400,3
tor,fcn,-1,2,100,100,15,100,500,500,0.2,0.891304348,0.642857143,3500,3
tor,mis,-1,2,100,100,15,100,500,500,0.2,0.926315789,0.72,1700,3
tor,mfid,200,-1,-1,-1,15,100,500,500,0.2,0.943589744,0.755555556,1300,3
tor,fixed,-1,-1,-1,-1,15,100,500,500,0.2,0.927835052,0.695652174,1500,3
tor,cas,-1,2,20,20,15,100,500,500,0.2,0.959183673,0.818181818,500,4
tor,fcn,-1,2,100,100,15,100,500,500,0.2,0.964824121,0.829268293,6300,4
tor,mis,-1,2,100,100,15,100,500,500,0.2,0.947916667,0.791666667,700,4
tor,mfid,200,-1,-1,-1,15,100,500,500,0.2,0.8,0.514285714,100,4
