dataset_name,oracle_param_oracle_name,oracle_param_number_of_epochs_for_training_feature_extractor,oracle_param_number_of_hidden_layers_for_classifier,oracle_param_number_of_neurons_in_layer_for_classifier,oracle_param_number_of_epochs_for_training_classifier,wtst_param_number_of_accepted_failed_attempts,wtst_param_epoch_unit,gan_param_number_of_generated_samples_perclass,maj_class_count,min_maj_rate,maj_f1,min_f1,stopping_epoch,fold
tor_rf,cas,-1,2,20,20,15,100,500,200,0.3,0.95,0.833333333,1100,5
tor_rf,fcn,-1,2,100,100,15,100,500,200,0.3,0.95,0.833333333,3400,5
tor_rf,mis,-1,2,100,100,15,100,500,200,0.3,0.95,0.833333333,300,5
tor_rf,mfid,200,-1,-1,-1,15,100,500,200,0.3,0.95,0.833333333,700,5
tor_rf,fixed,-1,-1,-1,-1,15,100,500,200,0.3,0.95,0.833333333,1500,5
tor_rf,cas,-1,2,20,20,15,100,500,200,0.4,0.951219512,0.866666667,3200,1
tor_rf,fcn,-1,2,100,100,15,100,500,200,0.4,0.963855422,0.896551724,700,1
tor_rf,mis,-1,2,100,100,15,100,500,200,0.4,0.951219512,0.866666667,2000,1
tor_rf,mfid,200,-1,-1,-1,15,100,500,200,0.4,0.951219512,0.866666667,2000,1
tor_rf,fixed,-1,-1,-1,-1,15,100,500,200,0.4,0.951219512,0.866666667,1500,1
tor_rf,cas,-1,2,20,20,15,100,500,200,0.4,0.962962963,0.903225806,700,2
tor_rf,fcn,-1,2,100,100,15,100,500,200,0.4,0.962962963,0.903225806,2700,2
tor_rf,mis,-1,2,100,100,15,100,500,200,0.4,0.975609756,0.933333333,900,2
tor_rf,mfid,200,-1,-1,-1,15,100,500,200,0.4,0.962962963,0.903225806,700,2
tor_rf,fixed,-1,-1,-1,-1,15,100,500,200,0.4,0.975609756,0.933333333,1500,2
tor_rf,cas,-1,2,20,20,15,100,500,200,0.4,0.987654321,0.967741935,700,3
tor_rf,fcn,-1,2,100,100,15,100,500,200,0.4,0.975609756,0.933333333,500,3
tor_rf,mis,-1,2,100,100,15,100,500,200,0.4,0.975609756,0.933333333,600,3
tor_rf,mfid,200,-1,-1,-1,15,100,500,200,0.4,0.975609756,0.933333333,1800,3
tor_rf,fixed,-1,-1,-1,-1,15,100,500,200,0.4,0.975609756,0.933333333,1500,3
tor_rf,cas,-1,2,20,20,15,100,500,200,0.4,0.975609756,0.933333333,1100,4
tor_rf,fcn,-1,2,100,100,15,100,500,200,0.4,0.975609756,0.933333333,2400,4
tor_rf,mis,-1,2,100,100,15,100,500,200,0.4,0.975609756,0.933333333,1800,4
tor_rf,mfid,200,-1,-1,-1,15,100,500,200,0.4,0.962962963,0.903225806,900,4
tor_rf,fixed,-1,-1,-1,-1,15,100,500,200,0.4,0.962962963,0.903225806,1500,4
tor_rf,cas,-1,2,20,20,15,100,500,200,0.4,0.933333333,0.864864865,700,5
tor_rf,fcn,-1,2,100,100,15,100,500,200,0.4,0.948717949,0.882352941,2600,5
tor_rf,mis,-1,2,100,100,15,100,500,200,0.4,0.947368421,0.888888889,1200,5
